Diameter,Height,HDR
2,17,85
1,17,170
3,25,83.33333333
2,17,85
3,21,70
2,18,90
3,19,63.33333333
2,23,115
4,49,122.5
3,22,73.33333333
3,20,66.66666667
4,43,107.5
3,27,90
2,16,80
3,19,63.33333333
3,20,66.66666667
2,17,85
1,17,170
,,#DIV/0!
3,36,120
3,29,96.66666667
1,18,180
2,19,95
3,35,116.6666667
4,42,105
2,23,115
4,36,90
2,22,110
1,11,110
3,27,90
3,36,120
3,36,120
3,23,76.66666667
2,16,80
5,50,100
6,69,115
5,56,112
5,36,72
4,45,112.5
2,33,165
,,#DIV/0!
,,#DIV/0!
2,15,75
3,8,26.66666667
3,17,56.66666667
4,53,132.5
4,47,117.5
3,35,116.6666667
2,14,70
2,16,80
2,13,65
,,#DIV/0!
,,#DIV/0!
3,12,40
,,#DIV/0!
,,#DIV/0!
2,14,70
3,15,50
13,82,63.07692308
7,55,78.57142857
9,44,48.88888889
10,89,89
12,82,68.33333333
5,34,68
3,35,116.6666667
8,80,100
9,103,114.4444444
17,147,86.47058824
12,75,62.5
16,135,84.375
17,140,82.35294118
21,178,84.76190476
6,64,106.6666667
7,91,130
9,93,103.3333333
3,48,160
9,108,120
13,106,81.53846154
16,155,96.875
3,46,153.3333333
5,52,104
6,88,146.6666667
5,46,92
11,65,59.09090909
12,82,68.33333333
21,156,74.28571429
14,126,90
8,94,117.5
9,89,98.88888889
11,123,111.8181818
7,69,98.57142857
14,138,98.57142857
11,113,102.7272727
8,75,93.75
6,73,121.6666667
6,62,103.3333333
11,98,89.09090909
5,60,120
16,160,100
15,138,92
5,34,68
11,92,83.63636364
4,32,80
7,92,131.4285714
7,77,110
4,82,205
7,58,82.85714286
6,74,123.3333333
11,122,110.9090909
11,127,115.4545455
16,142,88.75
18,160,88.88888889
8,98,122.5
3,48,160
21,165,78.57142857
3,43,143.3333333
6,59,98.33333333
14,142,101.4285714
4,45,112.5
13,106,81.53846154
5,72,144
13,96,73.84615385
5,43,86
2,22,110
3,30,100
2,15,75
2,17,85
2,13,65
2,21,105
2,21,105
3,12,40
2,14,70
4,57,142.5
5,55,110
7,60,85.71428571
5,28,56
1,10,100
2,13,65
3,24,80
3,18,60
1,8,80
3,60,200
4,37,92.5
5,27,54
2,12,60
2,20,100
3,19,63.33333333
2,10,50
5,45,90
3,14,46.66666667
2,12,60
2,4,20
7,75,107.1428571
4,23,57.5
3,17,56.66666667
1,16,160
4,20,50
2,20,100
2,12,60
3,15,50
5,27,54
2,19,95
1,13,130
5,47,94
5,23,46
4,35,87.5
4,22,55
4,36,90
5,46,92
4,42,105
5,19,38
5,30,60
2,13,65
4,23,57.5
4,28,70
6,67,111.6666667
9,89,98.88888889
9,113,125.5555556
6,88,146.6666667
2,24,120
9,98,108.8888889
7,73,104.2857143
6,69,115
4,57,142.5
9,121,134.4444444
9,134,148.8888889
2,13,65
5,53,106
3,31,103.3333333
7,84,120
5,87,174
7,60,85.71428571
3,17,56.66666667
5,66,132
2,6,30
4,67,167.5
4,26,65
3,27,90
3,34,113.3333333
10,131,131
3,31,103.3333333
7,99,141.4285714
4,38,95
3,31,103.3333333
9,119,132.2222222
9,94,104.4444444
7,91,130
10,90,90
4,72,180
7,82,117.1428571
5,64,128
3,31,103.3333333
4,35,87.5
4,33,82.5
7,85,121.4285714
5,61,122
8,123,153.75
5,46,92
3,30,100
5,61,122
8,80,100
5,40,80
6,59,98.33333333
2,18,90
9,74,82.22222222
7,59,84.28571429
5,41,82
7,76,108.5714286
8,101,126.25
11,72,65.45454545
3,13,43.33333333
3,35,116.6666667
8,81,101.25
6,48,80
5,48,96
5,46,92
5,46,92
4,40,100
6,52,86.66666667
10,102,102
9,82,91.11111111
4,35,87.5
6,52,86.66666667
4,41,102.5
4,43,107.5
5,41,82
2,13,65
8,30,37.5
3,28,93.33333333
6,77,128.3333333
3,24,80
7,54,77.14285714
6,24,40
3,35,116.6666667
5,40,80
7,52,74.28571429
4,40,100
2,32,160
6,49,81.66666667
6,50,83.33333333
8,75,93.75
6,48,80
13,103,79.23076923
7,93,132.8571429
2,18,90
2,8,40
4,15,37.5
2,5,25
2,7,35
1,4,40
2,7,35
2,14,70
2,16,80
3,5,16.66666667
2,6,30
2,6,30
1,11,110
3,14,46.66666667
3,16,53.33333333
2,5,25
2,6,30
3,6,20
2,11,55
3,9,30
3,12,40
1,8,80
2,11,55
2,9,45
2,9,45
2,7,35
2,4,20
2,7,35
3,19,63.33333333
2,8,40
3,7,23.33333333
2,9,45
2,8,40
3,9,30
6,67,111.6666667
6,84,140
6,58,96.66666667
5,42,84
4,21,52.5
2,9,45
2,9,45
2,16,80
3,31,103.3333333
2,22,110
4,46,115
6,67,111.6666667
6,51,85
6,39,65
6,84,140
6,37,61.66666667
6,51,85
3,22,73.33333333
2,10,50
6,66,110
7,71,101.4285714
2,16,80
2,15,75
2,9,45
7,61,87.14285714
5,47,94
7,80,114.2857143
9,59,65.55555556
6,49,81.66666667
5,65,130
3,41,136.6666667
4,46,115
3,25,83.33333333
2,14,70
4,31,77.5
4,43,107.5
2,21,105
4,35,87.5
3,15,50
3,12,40
4,30,75
3,15,50
4,32,80
4,48,120
3,38,126.6666667
4,37,92.5
5,23,46
3,18,60
2,8,40
2,20,100
3,23,76.66666667
2,14,70
4,31,77.5
6,48,80
3,21,70
3,14,46.66666667
5,43,86
4,32,80
3,32,106.6666667
4,58,145
3,19,63.33333333
2,28,140
4,38,95
2,9,45
2,10,50
3,24,80
3,25,83.33333333
6,78,130
7,84,120
6,62,103.3333333
5,39,78
5,62,124
7,58,82.85714286
5,50,100
8,35,43.75
4,47,117.5
3,30,100
4,48,120
4,40,100
3,16,53.33333333
5,50,100
2,4,20
2,12,60
2,12,60
4,32,80
3,36,120
3,28,93.33333333
5,50,100
3,25,83.33333333
2,12,60
4,32,80
3,34,113.3333333
5,31,62
4,18,45
3,22,73.33333333
5,29,58
3,32,106.6666667
3,28,93.33333333
2,15,75
6,63,105
9,85,94.44444444
5,48,96
7,55,78.57142857
6,85,141.6666667
5,44,88
5,60,120
5,33,66
6,34,56.66666667
5,45,90
6,60,100
4,38,95
4,37,92.5
4,38,95
5,44,88
6,34,56.66666667
3,30,100
4,50,125
3,47,156.6666667
4,37,92.5
4,37,92.5
3,38,126.6666667
2,12,60
4,45,112.5
2,9,45
4,23,57.5
3,30,100
3,3,10
2,7,35
4,48,120
2,7,35
3,25,83.33333333
4,26,65
3,32,106.6666667
3,21,70
2,9,45
4,47,117.5
2,16,80
4,37,92.5
3,28,93.33333333
2,10,50
3,23,76.66666667
3,32,106.6666667
3,20,66.66666667
3,32,106.6666667
3,30,100
4,25,62.5
3,20,66.66666667
4,45,112.5
4,38,95
5,57,114
5,44,88
5,44,88
6,57,95
6,58,96.66666667
5,63,126
3,18,60
4,47,117.5
4,56,140
3,34,113.3333333
4,44,110
4,46,115
3,48,160
3,32,106.6666667
3,37,123.3333333
4,41,102.5
3,40,133.3333333
2,26,130
2,30,150
3,43,143.3333333
2,11,55
7,83,118.5714286
4,33,82.5
4,41,102.5
5,63,126
4,59,147.5
8,93,116.25
7,86,122.8571429
8,68,85
4,44,110
4,14,35
3,21,70
2,25,125
4,24,60
3,25,83.33333333
7,67,95.71428571
7,14,20
3,29,96.66666667
4,53,132.5
3,14,46.66666667
6,55,91.66666667
3,24,80
3,38,126.6666667
4,54,135
4,46,115
4,34,85
4,55,137.5
7,13,18.57142857
6,20,33.33333333
3,11,36.66666667
4,42,105
3,17,56.66666667
4,29,72.5
4,26,65
5,73,146
3,51,170
3,26,86.66666667
3,17,56.66666667
5,55,110
4,34,85
3,43,143.3333333
5,21,42
4,59,147.5
3,23,76.66666667
7,84,120
2,14,70
4,45,112.5
3,32,106.6666667
3,39,130
3,9,30
2,22,110
6,18,30
1,12,120
4,30,75
4,48,120
2,14,70
4,26,65
2,7,35
5,63,126
5,58,116
2,32,160
6,40,66.66666667
3,43,143.3333333
3,30,100
6,59,98.33333333
3,38,126.6666667
7,88,125.7142857
3,36,120
7,14,20
5,59,118
5,39,78
4,44,110
4,45,112.5
7,53,75.71428571
3,34,113.3333333
3,17,56.66666667
2,18,90
5,54,108
5,58,116
3,40,133.3333333
2,19,95
4,61,152.5
2,29,145
6,45,75
3,34,113.3333333
3,33,110
4,30,75
3,9,30
4,25,62.5
5,62,124
2,13,65
2,36,180
5,63,126
5,60,120
3,36,120
2,29,145
2,25,125
8,25,31.25
2,17,85
4,18,45
4,55,137.5
3,17,56.66666667
4,19,47.5
4,26,65
3,19,63.33333333
3,21,70
4,21,52.5
3,32,106.6666667
4,28,70
5,58,116
6,48,80
2,15,75
6,31,51.66666667
4,44,110
4,37,92.5
3,29,96.66666667
4,26,65
3,32,106.6666667
11,44,40
3,23,76.66666667
2,29,145
3,30,100
4,13,32.5
3,21,70
3,29,96.66666667
3,16,53.33333333
3,18,60
6,21,35
2,13,65
4,19,47.5
5,32,64
5,44,88
5,40,80
6,52,86.66666667
3,20,66.66666667
5,35,70
4,23,57.5
2,10,50
4,25,62.5
6,29,48.33333333
7,79,112.8571429
3,32,106.6666667
3,14,46.66666667
4,22,55
3,16,53.33333333
3,16,53.33333333
3,18,60
1,11,110
5,44,88
3,24,80
4,36,90
8,58,72.5
2,18,90
3,17,56.66666667
5,40,80
5,32,64
2,20,100
3,32,106.6666667
3,25,83.33333333
5,40,80
5,51,102
7,62,88.57142857
10,87,87
10,86,86
5,48,96
4,40,100
3,28,93.33333333
7,55,78.57142857
9,97,107.7777778
12,120,100
4,26,65
4,40,100
6,42,70
4,40,100
7,89,127.1428571
7,68,97.14285714
9,72,80
3,22,73.33333333
6,36,60
3,26,86.66666667
3,18,60
2,19,95
3,25,83.33333333
4,36,90
5,70,140
2,20,100
2,15,75
3,22,73.33333333
5,34,68
2,15,75
1,13,130
4,28,70
5,47,94
4,39,97.5
3,25,83.33333333
3,29,96.66666667
4,30,75
3,29,96.66666667
2,15,75
4,33,82.5
2,13,65
3,42,140
5,50,100
5,55,110
4,50,125
4,48,120
3,26,86.66666667
2,17,85
1,21,210
4,40,100
5,44,88
5,77,154
2,17,85
4,26,65
4,50,125
3,44,146.6666667
9,68,75.55555556
3,48,160
4,46,115
4,48,120
3,20,66.66666667
1,12,120
5,61,122
5,54,108
4,33,82.5
3,37,123.3333333
5,76,152
4,45,112.5
4,42,105
3,47,156.6666667
2,23,115
4,47,117.5
5,47,94
8,74,92.5
5,55,110
4,40,100
3,23,76.66666667
6,66,110
6,66,110
6,57,95
2,27,135
3,36,120
5,52,104
5,64,128
5,35,70
4,32,80
5,63,126
5,58,116
5,51,102
4,43,107.5
5,57,114
